date,metal,price
2026-04-15,Gold,69000
2026-04-16,Gold,69500
2026-04-17,Gold,69800
2026-04-18,Gold,70200
2026-04-19,Gold,69900
2026-04-20,Gold,70400
2026-04-21,Gold,70800
2026-04-22,Gold,70600
2026-04-23,Gold,70950
2026-04-24,Gold,70500
2026-04-25,Gold,71000
2026-04-26,Gold,71250
2026-04-27,Gold,71800
2026-04-28,Gold,72000
2026-04-29,Gold,71800
2026-04-30,Gold,72500
2026-04-15,Silver,81000
2026-04-16,Silver,81500
2026-04-17,Silver,81800
2026-04-18,Silver,82200
2026-04-19,Silver,81900
2026-04-20,Silver,82400
2026-04-21,Silver,82800
2026-04-22,Silver,82600
2026-04-23,Silver,82950
2026-04-24,Silver,82500
2026-04-25,Silver,83000
2026-04-26,Silver,83800
2026-04-27,Silver,84500
2026-04-28,Silver,84000
2026-04-29,Silver,84200
2026-04-30,Silver,83500
